[2026-09-01T10:35:01.150Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.113.woff2 → 200 (183ms, 71484B)
[2026-09-01T10:35:01.150Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.112.woff2 → 200 (183ms, 73500B)
[2026-09-01T10:35:01.150Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.117.woff2 → 200 (177ms, 12128B)
[2026-09-01T10:35:01.150Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.114.woff2 → 200 (177ms, 14652B)
[2026-09-01T10:35:01.151Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.109.woff2 → 200 (158ms, 15912B)
[2026-09-01T10:35:01.151Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.106.woff2 → 200 (157ms, 19324B)
[2026-09-01T10:35:01.151Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.90.woff2 → 200 (157ms, 18104B)
[2026-09-01T10:35:01.151Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.87.woff2 → 200 (157ms, 18516B)
[2026-09-01T10:35:01.151Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.75.woff2 → 200 (157ms, 18272B)
[2026-09-01T10:35:01.151Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.66.woff2 → 200 (156ms, 18828B)
[2026-09-01T10:35:01.151Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.63.woff2 → 200 (155ms, 16724B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.111.woff2 → 200 (183ms, 74820B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.60.woff2 → 200 (180ms, 37308B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.35.woff2 → 200 (180ms, 41696B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.101.woff2 → 200 (180ms, 62524B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.105.woff2 → 200 (159ms, 18172B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.102.woff2 → 200 (158ms, 16956B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.100.woff2 → 200 (158ms, 19132B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.98.woff2 → 200 (158ms, 18224B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.115.woff2 → 200 (157ms, 15372B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.113.woff2 → 200 (178ms, 15664B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.95.woff2 → 200 (178ms, 16440B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.110.woff2 → 200 (182ms, 79300B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.43.woff2 → 200 (178ms, 29096B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.34.woff2 → 200 (181ms, 40132B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.107.woff2 → 200 (182ms, 73036B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.97.woff2 → 200 (177ms, 17348B)
[2026-09-01T10:35:01.152Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.83.woff2 → 200 (177ms, 18500B)
[2026-09-01T10:35:01.153Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.46.woff2 → 200 (178ms, 26332B)
[2026-09-01T10:35:01.153Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.16.woff2 → 200 (181ms, 36700B)
[2026-09-01T10:35:01.153Z] GET https://fonts.gstatic.com/s/zenoldmincho/v13/tss3ApVaYytLwxTqcxfMyBveyb5LrFlf8dUgP1p77gLAxSnIckBQjXn9sfLjeG9rwq0.116.woff2 → 200 (177ms, 15420B)
[2026-09-01T10:35:01.153Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.102.woff2 → 200 (181ms, 63380B)
[2026-09-01T10:35:01.153Z] GET https://fonts.gstatic.com/s/notosanstc/v39/-nF7OG829Oofr2wohFbTp9iFOisNA_cTyNromxqQuEMQ2wHYwbnmy1R1jDujLebozBXCo2qYhRo.108.woff2 → 200 (184ms, 72596B)
[2026-09-01T10:35:28.019Z] GET http://localhost:8990/index-v2.html?t=14624 → 200 (1ms, ?B)
